,,cost,load,fuel cost,cost_norm,load_norm,del_load_norm,fuel_norm,weather,,,,
264,Jun-98,13.66,98444.51,7.04,0.26,0.45,0.16,0.16,1,,,,
265,Jul-98,13.71,121472.25,6.95,0.26,0.64,0.19,0.15,1,,,,
266,Aug-98,13.67,120267.59,6.98,0.26,0.63,-0.01,0.16,0,,,,
267,Sep-98,13.44,106640.88,6.95,0.23,0.52,-0.11,0.16,0,,,,
268,Oct-98,13.12,86822.93,6.67,0.2,0.36,-0.16,0.14,0,,,,
269,Nov-98,12.77,77017.88,6.35,0.16,0.28,-0.08,0.12,1,,,,
270,Dec-98,12.56,92647.5,6.05,0.13,0.41,0.13,0.11,1,,,,
271,Jan-99,12,111219.42,5.99,0.07,0.55,0.14,0.1,1,,,,
272,Feb-99,12.54,86705.02,6.01,0.13,0.36,-0.19,0.1,1,,,,
273,Mar-99,12.5,89449.81,6.18,0.13,0.38,0.02,0.11,0,,,,
274,Apr-99,12.71,77284.99,6.72,0.15,0.28,-0.1,0.14,0,,,,
275,May-99,12.99,77151.74,6.91,0.18,0.28,0,0.15,1,,,,
276,Jun-99,13.24,95915.32,7.08,0.21,0.43,0.15,0.16,1,,,,
277,Jul-99,13.28,123125.53,7.42,0.21,0.65,0.22,0.18,1,,,,
278,Aug-99,13.14,123959.8,7.73,0.2,0.66,0.01,0.2,0,,,,
279,Sep-99,12.99,104054.56,7.89,0.18,0.5,-0.16,0.2,0,,,,
280,Oct-99,12.98,82605.2,7.71,0.18,0.33,-0.17,0.2,0,,,,
281,Nov-99,12.52,78288.26,7.8,0.13,0.29,-0.04,0.2,1,,,,
282,Dec-99,12.26,95163.43,7.88,0.1,0.43,0.14,0.2,1,,,,
283,Jan-00,11.79,109492.09,8.14,0.05,0.54,0.11,0.22,1,,,,
284,Feb-00,11.82,98445.86,9.17,0.05,0.45,-0.09,0.27,1,,,,
285,Mar-00,12.33,84645.02,9.05,0.11,0.34,-0.11,0.27,0,,,,
286,Apr-00,12.43,76228.45,8.71,0.12,0.28,-0.06,0.25,0,,,,
287,May-00,12.7,83366.31,8.99,0.15,0.33,0.05,0.26,1,,,,
288,Jun-00,12.96,103976.43,9.48,0.18,0.5,0.17,0.29,1,,,,
289,Jul-00,13,119475.31,9.48,0.18,0.62,0.12,0.29,1,,,,
290,Aug-00,13.03,123769.36,9.43,0.19,0.66,0.04,0.29,0,,,,
291,Sep-00,12.78,108546.42,10.02,0.16,0.53,-0.13,0.32,0,,,,
292,Oct-00,12.73,86831.64,9.88,0.15,0.36,-0.17,0.31,0,,,,
293,Nov-00,12.2,84516.25,9.69,0.09,0.34,-0.02,0.3,1,,,,
294,Dec-00,11.68,113153.36,9.38,0.03,0.57,0.23,0.28,1,,,,
295,1-Jan,11.48,127080.03,9.53,0.01,0.68,0.11,0.29,1,,,,
296,1-Feb,11.91,99875.59,9.44,0.06,0.46,-0.22,0.29,1,,,,
297,1-Mar,12.32,92816.13,8.98,0.1,0.41,-0.05,0.26,0,,,,
298,1-Apr,12.5,82438.26,9.23,0.13,0.32,-0.09,0.28,0,,,,
299,1-May,12.98,81755.58,9.73,0.18,0.32,0,0.3,1,,,,
300,1-Jun,13.31,99409.92,9.59,0.22,0.46,0.14,0.29,1,,,,
301,1-Jul,13.27,120695.09,8.96,0.21,0.63,0.17,0.26,1,,,,
302,1-Aug,13.24,129189.8,8.92,0.21,0.7,0.07,0.26,0,,,,
303,1-Sep,13.06,105956.42,9.07,0.19,0.51,-0.19,0.27,0,,,,
304,1-Oct,12.98,85424.56,7.99,0.18,0.35,-0.16,0.21,0,,,,
305,1-Nov,12.45,80798.47,7.45,0.12,0.31,-0.04,0.18,1,,,,
306,1-Dec,12.18,96166.74,6.95,0.09,0.43,0.12,0.15,1,,,,
307,2-Jan,11.84,116891.8,7,0.05,0.6,0.17,0.16,1,,,,
308,2-Feb,11.99,96592.93,7,0.07,0.44,-0.16,0.16,1,,,,
309,2-Mar,11.93,95318.67,7.42,0.06,0.43,-0.01,0.18,0,,,,
310,2-Apr,12.17,85407.61,7.94,0.09,0.35,-0.08,0.21,0,,,,
311,2-May,12.55,87318.54,8.11,0.13,0.36,0.01,0.22,1,,,,
312,2-Jun,12.67,107170,8.19,0.14,0.52,0.16,0.22,1,,,,
313,2-Jul,12.77,133694.8,8.39,0.16,0.73,0.21,0.23,1,,,,
314,2-Aug,12.59,134332.47,8.47,0.14,0.74,0.01,0.24,0,,,,
315,2-Sep,12.39,115833.03,8.65,0.11,0.59,-0.15,0.24,0,,,,
316,2-Oct,12.19,94531.34,8.46,0.09,0.42,-0.17,0.23,0,,,,
317,2-Nov,11.94,88822.3,8.18,0.06,0.38,-0.04,0.22,1,,,,
318,2-Dec,11.59,109266.38,8.27,0.02,0.54,0.16,0.22,1,,,,
319,3-Jan,11.42,124272.79,8.79,0,0.66,0.12,0.25,1,,,,
320,3-Feb,11.39,110937.37,9.69,0,0.55,-0.11,0.3,1,,,,
321,3-Mar,11.84,99561.31,10.16,0.05,0.46,-0.09,0.33,0,,,,
322,3-Apr,12.55,83448.24,9.33,0.13,0.33,-0.13,0.28,0,,,,
323,3-May,12.81,87804.37,9.07,0.16,0.37,0.04,0.27,1,,,,
324,3-Jun,13.17,101285.79,9.23,0.2,0.48,0.11,0.28,1,,,,
325,3-Jul,13.07,130673.86,9.36,0.19,0.71,0.23,0.28,1,,,,
326,3-Aug,13.03,134467.8,9.58,0.19,0.74,0.03,0.29,0,,,,
327,3-Sep,12.56,113848.98,9.41,0.13,0.58,-0.16,0.29,0,,,,
328,3-Oct,12.48,89780.86,9.04,0.12,0.38,-0.2,0.27,0,,,,
329,3-Nov,12.29,86658.68,8.86,0.1,0.36,-0.02,0.26,1,,,,
330,3-Dec,11.66,113083.85,8.83,0.03,0.57,0.21,0.25,1,,,,
331,4-Jan,11.53,127121.38,9.3,0.02,0.68,0.11,0.28,1,,,,
332,4-Feb,11.63,112464.06,9.54,0.03,0.56,-0.12,0.29,1,,,,
333,4-Mar,12.01,98947.21,9.77,0.07,0.46,-0.1,0.3,0,,,,
334,4-Apr,12.42,85376.87,10,0.12,0.35,-0.11,0.32,0,,,,
335,4-May,12.56,90598.21,10.62,0.13,0.39,0.04,0.35,1,,,,
336,4-Jun,12.82,112335.13,10.71,0.16,0.56,0.17,0.35,1,,,,
337,4-Jul,12.9,129305.35,10.82,0.17,0.7,0.14,0.36,1,,,,
338,4-Aug,13.09,126423.34,11.15,0.19,0.68,-0.02,0.38,0,,,,
339,4-Sep,12.9,112337.69,11.26,0.17,0.56,-0.12,0.38,0,,,,
340,4-Oct,12.36,93466.17,11.83,0.11,0.41,-0.15,0.41,0,,,,
341,4-Nov,12.18,89649.74,11.65,0.09,0.38,-0.03,0.4,1,,,,
342,4-Dec,11.67,113956.43,10.93,0.03,0.58,0.2,0.37,1,,,,
343,5-Jan,11.56,125287.86,10.88,0.02,0.67,0.09,0.36,1,,,,
344,5-Feb,11.84,106666.91,11.24,0.05,0.52,-0.15,0.38,1,,,,
345,5-Mar,11.96,104065.2,12.03,0.06,0.5,-0.02,0.42,0,,,,
346,5-Apr,12.4,86749.16,12.54,0.11,0.36,-0.14,0.45,0,,,,
347,5-May,12.86,87384.11,12.29,0.17,0.36,0,0.44,1,,,,
348,5-Jun,13.15,116627.44,12.81,0.2,0.6,0.24,0.47,1,,,,
349,5-Jul,13.04,144476.34,13.48,0.19,0.82,0.22,0.5,1,,,,
350,5-Aug,13.17,146904.78,14.27,0.2,0.84,0.02,0.54,0,,,,
351,5-Sep,13,126515.64,15.64,0.18,0.68,-0.16,0.62,0,,,,
352,5-Oct,12.74,102685.88,15.65,0.15,0.49,-0.19,0.62,0,,,,
353,5-Nov,12.82,91686.57,13.91,0.16,0.4,-0.09,0.52,1,,,,
354,5-Dec,12.17,120177.22,13.42,0.09,0.63,0.23,0.5,1,,,,
355,6-Jan,12.49,120418.85,13.77,0.12,0.63,0,0.52,1,,,,
356,6-Feb,12.81,104511.06,13.47,0.16,0.5,-0.13,0.5,1,,,,
357,6-Mar,12.88,104955.19,13.69,0.17,0.5,0,0.51,0,,,,
358,6-Apr,13.4,89374.1,14.62,0.23,0.38,-0.12,0.56,0,,,,
359,6-May,13.74,93999.95,15.33,0.27,0.42,0.04,0.6,1,,,,
360,6-Jun,14.02,118815.31,15.35,0.3,0.62,0.2,0.6,1,,,,
361,6-Jul,14.08,147338.33,15.72,0.3,0.84,0.22,0.62,1,,,,
362,6-Aug,13.99,150064.43,15.85,0.29,0.87,0.03,0.63,0,,,,
363,6-Sep,14.06,116072.16,14.57,0.3,0.59,-0.28,0.56,0,,,,
364,6-Oct,13.66,96246.21,13.02,0.26,0.44,-0.15,0.48,0,,,,
365,6-Nov,13.14,94842.85,12.99,0.2,0.42,-0.02,0.48,1,,,,
366,6-Dec,12.63,114881.6,13.31,0.14,0.58,0.16,0.49,1,,,,
367,7-Jan,12.89,125286.24,12.69,0.17,0.67,0.09,0.46,1,,,,
368,7-Feb,12.62,121464.25,12.88,0.14,0.64,-0.03,0.47,1,,,,
369,7-Mar,13.04,105694.76,13.7,0.19,0.51,-0.13,0.51,0,,,,
370,7-Apr,13.46,90282.05,14.5,0.23,0.39,-0.12,0.56,0,,,,
371,7-May,13.58,96388.85,15.05,0.25,0.44,0.05,0.58,1,,,,
372,7-Jun,13.95,117417.6,15.29,0.29,0.6,0.16,0.6,1,,,,
373,7-Jul,13.9,139027.03,15.54,0.28,0.78,0.18,0.61,1,,,,
374,7-Aug,13.9,150101.49,15.25,0.28,0.87,0.09,0.59,0,,,,
375,7-Sep,13.7,129512.02,15.41,0.26,0.7,-0.17,0.6,0,,,,
376,7-Oct,13.48,103753.92,15.58,0.24,0.5,-0.2,0.61,0,,,,
377,7-Nov,13.23,95904.83,16.6,0.21,0.43,-0.07,0.67,1,,,,
378,7-Dec,12.74,117407.96,16.32,0.15,0.6,0.17,0.65,1,,,,
379,8-Jan,12.46,133368.44,16.39,0.12,0.73,0.13,0.66,1,,,,
380,8-Feb,12.45,118553.65,16.55,0.12,0.61,-0.12,0.66,1,,,,
381,8-Mar,12.76,107162.48,18.18,0.16,0.52,-0.09,0.75,0,,,,
382,8-Apr,13.32,92165.89,19.31,0.22,0.4,-0.12,0.81,0,,,,
383,8-May,13.81,92245.63,21,0.27,0.4,0,0.9,1,,,,
384,8-Jun,14.11,121375.88,22.6,0.31,0.64,0.24,0.98,1,,,,
385,8-Jul,14.37,143179.15,22.89,0.34,0.81,0.17,1,1,,,,
386,8-Aug,14.41,138459.92,21.03,0.34,0.77,-0.04,0.9,0,,,,
387,8-Sep,14.2,117078.14,19.57,0.32,0.6,-0.17,0.82,0,,,,
388,8-Oct,14.19,96110.59,16.73,0.32,0.43,-0.17,0.67,0,,,,
389,8-Nov,13.97,95766.49,13.5,0.29,0.43,0,0.5,1,,,,
390,8-Dec,13.39,125195.49,11.51,0.23,0.67,0.24,0.4,1,,,,
391,9-Jan,13.51,136228.78,11.24,0.24,0.75,0.08,0.38,1,,,,
392,9-Feb,13.7,115212.23,11.18,0.26,0.59,-0.16,0.38,1,,,,
393,9-Mar,13.84,106501.36,11.12,0.28,0.52,-0.07,0.38,0,,,,
394,9-Apr,14.09,91631.16,11.48,0.31,0.4,-0.12,0.39,0,,,,
395,9-May,14.42,94312.18,12.12,0.34,0.42,0.02,0.43,1,,,,
396,9-Jun,14.33,114395.19,13.47,0.33,0.58,0.16,0.5,1,,,,
397,9-Jul,14.39,137497.96,13.44,0.34,0.76,0.18,0.5,1,,,,
398,9-Aug,14.45,138222.68,13.94,0.35,0.77,0.01,0.53,0,,,,
399,9-Sep,14.44,115163.38,13.67,0.35,0.59,-0.18,0.51,0,,,,
400,9-Oct,14.03,98552.02,13.39,0.3,0.45,-0.14,0.5,0,,,,
401,9-Nov,13.51,93027.98,13.85,0.24,0.41,-0.04,0.52,1,,,,
402,9-Dec,13.07,124013.23,13.51,0.19,0.66,0.25,0.5,1,,,,
403,10-Jan,12.57,147499.88,14.05,0.13,0.84,0.18,0.53,1,,,,
404,10-Feb,13.07,122840.2,13.8,0.19,0.65,-0.19,0.52,1,,,,
405,10-Mar,13.33,111789.99,14.26,0.22,0.56,-0.09,0.54,0,,,,
406,10-Apr,14.04,88046.44,14.86,0.3,0.37,-0.19,0.57,0,,,,
407,10-May,14.29,94843.01,14.72,0.33,0.42,0.05,0.57,1,,,,
408,10-Jun,14.29,127495.97,14.65,0.33,0.69,0.27,0.56,1,,,,
409,10-Jul,14.42,154688.71,14.8,0.34,0.9,0.21,0.57,1,,,,
410,10-Aug,14.39,154053.43,14.93,0.34,0.9,0,0.58,0,,,,
411,10-Sep,14.27,124582.73,14.7,0.33,0.66,-0.24,0.57,0,,,,
412,10-Oct,14.12,96688.03,14.77,0.31,0.44,-0.22,0.57,0,,,,
413,10-Nov,13.79,93166.14,14.72,0.27,0.41,-0.03,0.57,1,,,,
414,10-Dec,13.08,130013.88,15.14,0.19,0.71,0.3,0.59,1,,,,
415,11-Jan,12.81,145061.69,15.68,0.16,0.83,0.12,0.62,1,,,,
416,11-Feb,12.99,120109.97,16.37,0.18,0.63,-0.2,0.65,1,,,,
417,11-Mar,13.46,104922.12,17.68,0.23,0.5,-0.13,0.72,0,,,,
418,11-Apr,13.58,93701.64,18.66,0.25,0.41,-0.09,0.78,0,,,,
419,11-May,13.83,97689.1,18.68,0.28,0.45,0.04,0.78,1,,,,
420,11-Jun,13.88,125982.79,18.45,0.28,0.67,0.22,0.76,1,,,,
421,11-Jul,13.98,154728.92,18.42,0.29,0.9,0.23,0.76,1,,,,
422,11-Aug,13.94,153738.73,18.17,0.29,0.89,-0.01,0.75,0,,,,
423,11-Sep,14,122719.5,17.94,0.3,0.65,-0.24,0.74,0,,,,
424,11-Oct,13.89,94585.12,17.28,0.28,0.42,-0.23,0.7,0,,,,
425,11-Nov,13.52,93220.5,17.25,0.24,0.41,-0.01,0.7,1,,,,
426,11-Dec,13.08,116341.02,16.78,0.19,0.6,0.19,0.68,1,,,,
427,12-Jan,13.05,125881.48,16.82,0.19,0.67,0.07,0.68,1,,,,
428,12-Feb,13.14,107975.36,17.33,0.2,0.53,-0.14,0.7,1,,,,
429,12-Mar,13.33,99361.69,18.14,0.22,0.46,-0.07,0.75,0,,,,
430,12-Apr,13.56,88103.21,18.11,0.25,0.37,-0.09,0.75,0,,,,
431,12-May,13.56,100895.12,17.79,0.25,0.47,0.1,0.73,1,,,,
432,12-Jun,13.79,122934.13,17,0.27,0.65,0.18,0.69,1,,,,
433,12-Jul,13.69,154579.07,16.98,0.26,0.9,0.25,0.69,1,,,,
434,12-Aug,13.8,147941.04,17.9,0.27,0.85,-0.05,0.74,0,,,,
435,12-Sep,13.88,118831.34,18.26,0.28,0.62,-0.23,0.75,0,,,,
436,12-Oct,13.54,96669.43,17.61,0.24,0.44,-0.18,0.72,0,,,,
437,12-Nov,13.25,97155.23,16.87,0.21,0.44,0,0.68,1,,,,
438,12-Dec,13.1,114187.6,16.52,0.19,0.58,0.14,0.66,1,,,,
439,13-Jan,12.89,131784.84,16.45,0.17,0.72,0.14,0.66,1,,,,
440,13-Feb,13.02,113113.89,17.17,0.18,0.57,-0.15,0.7,1,,,,
441,13-Mar,13.03,112096.73,17.13,0.19,0.56,-0.01,0.69,0,,,,
442,13-Apr,13.42,95540.85,16.75,0.23,0.43,-0.13,0.67,0,,,,
443,13-May,13.94,95191.6,16.99,0.29,0.43,0,0.69,1,,,,
444,13-Jun,14.06,117982.11,17.23,0.3,0.61,0.18,0.7,1,,,,
445,13-Jul,14.16,143854.75,17.53,0.31,0.82,0.21,0.72,1,,,,
446,13-Aug,13.99,138065.07,17.65,0.29,0.77,-0.05,0.72,0,,,,
447,13-Sep,13.96,121419.22,17.58,0.29,0.64,-0.13,0.72,0,,,,
448,13-Oct,13.79,98893.02,16.62,0.27,0.46,-0.18,0.67,0,,,,
449,13-Nov,13.47,97904.02,15.88,0.24,0.45,-0.01,0.63,1,,,,
450,13-Dec,13.02,128966.06,15.89,0.18,0.7,0.25,0.63,1,,,,
451,14-Jan,12.91,146511.44,16.05,0.17,0.84,0.14,0.64,1,,,,
452,14-Feb,13.21,128475.36,16.61,0.21,0.69,-0.15,0.67,1,,,,
453,14-Mar,13.53,114232.8,16.82,0.24,0.58,-0.11,0.68,0,,,,
454,14-Apr,13.57,92289.72,16.92,0.25,0.4,-0.18,0.68,0,,,,
455,14-May,14.14,95726.77,17.16,0.31,0.43,0.03,0.7,1,,,,
456,14-Jun,14.27,118049.04,17.49,0.33,0.61,0.18,0.71,1,,,,
457,14-Jul,14.37,137027.97,17.46,0.34,0.76,0.15,0.71,1,,,,
458,14-Aug,14.32,135829.8,17.1,0.33,0.75,-0.01,0.69,0,,,,
459,14-Sep,14.22,120741.35,16.62,0.32,0.63,-0.12,0.67,0,,,,
460,14-Oct,13.83,98037.68,15.47,0.28,0.45,-0.18,0.61,0,,,,
461,14-Nov,13.73,99485.77,14.38,0.26,0.46,0.01,0.55,1,,,,
462,14-Dec,13.43,120800.62,13.02,0.23,0.63,0.17,0.48,1,,,,
463,15-Jan,13.44,137764.86,11.39,0.23,0.77,0.14,0.39,1,,,,
464,15-Feb,13.61,123837.72,11.38,0.25,0.66,-0.11,0.39,1,,,,
465,15-Mar,13.62,117167.11,11.87,0.25,0.6,-0.06,0.42,0,,,,
466,15-Apr,13.93,90199.19,11.73,0.29,0.39,-0.21,0.41,0,,,,
467,15-May,14.22,95160.53,12.61,0.32,0.43,0.04,0.45,1,,,,
468,15-Jun,14.17,120299.75,12.98,0.31,0.63,0.2,0.47,1,,,,
469,15-Jul,14.17,146038.29,12.77,0.31,0.83,0.2,0.46,1,,,,
470,15-Aug,14.14,144515.15,12,0.31,0.82,-0.01,0.42,0,,,,
471,15-Sep,14.3,125416.67,11.43,0.33,0.67,-0.15,0.39,0,,,,
472,15-Oct,13.95,99349.05,10.79,0.29,0.46,-0.21,0.36,0,,,,
473,15-Nov,13.92,92677.75,10.07,0.29,0.41,-0.05,0.32,1,,,,
474,15-Dec,13.51,111670.44,9.31,0.24,0.56,0.15,0.28,1,,,,
475,16-Jan,13.14,130971.85,8.57,0.2,0.71,0.15,0.24,1,,,,
476,16-Feb,13.32,115959.43,8.16,0.22,0.59,-0.12,0.22,1,,,,
477,16-Mar,13.76,100226.58,8.77,0.27,0.47,-0.12,0.25,0,,,,
478,16-Apr,13.57,88244.34,9.17,0.25,0.37,-0.1,0.27,0,,,,
479,16-May,13.93,94198.03,10.02,0.29,0.42,0.05,0.32,1,,,,
480,16-Jun,13.82,125211.24,10.77,0.27,0.67,0.25,0.36,1,,,,
481,16-Jul,13.77,154409.33,10.83,0.27,0.9,0.23,0.36,1,,,,
482,16-Aug,13.96,156441.52,10.76,0.29,0.92,0.02,0.36,0,,,,
483,16-Sep,13.92,129362.93,10.76,0.29,0.7,-0.22,0.36,0,,,,
484,16-Oct,13.44,101507.97,10.67,0.23,0.48,-0.22,0.35,0,,,,
485,16-Nov,13.74,93244.09,10.03,0.27,0.41,-0.07,0.32,1,,,,
486,16-Dec,13.14,121280.86,10.18,0.2,0.64,0.23,0.33,1,,,,
487,17-Jan,13.06,129212.5,10.49,0.19,0.7,0.06,0.34,1,,,,
488,17-Feb,13.66,100968.24,10.53,0.26,0.47,-0.23,0.34,1,,,,
489,17-Mar,13.79,103095.52,10.43,0.27,0.49,0.02,0.34,0,,,,
490,17-Apr,13.59,90724.5,10.77,0.25,0.39,-0.1,0.36,0,,,,
491,17-May,13.97,98281.16,10.93,0.29,0.45,0.06,0.37,1,,,,
492,17-Jun,14.09,122543.17,11.04,0.31,0.65,0.2,0.37,1,,,,
493,17-Jul,13.96,149900.48,11.17,0.29,0.86,0.21,0.38,1,,,,
494,17-Aug,13.97,142007.17,11.52,0.29,0.8,-0.06,0.4,0,,,,
495,17-Sep,14.05,118778.78,12.03,0.3,0.62,-0.18,0.42,0,,,,
496,17-Oct,13.53,102811.04,11.45,0.24,0.49,-0.13,0.39,0,,,,
497,17-Nov,13.64,98320.57,11.38,0.25,0.45,-0.04,0.39,1,,,,
498,17-Dec,13.1,122004.62,11.25,0.19,0.64,0.19,0.38,1,,,,
499,18-Jan,12.8,148917.38,11.62,0.16,0.86,0.22,0.4,1,,,,
500,18-Feb,13.2,113751.28,11.66,0.2,0.58,-0.28,0.4,1,,,,
501,18-Mar,13.56,107218.43,11.56,0.25,0.52,-0.06,0.4,0,,,,
502,18-Apr,13.43,95453.62,12.02,0.23,0.43,-0.09,0.42,0,,,,
503,18-May,13.65,103848,13.16,0.26,0.5,0.07,0.48,1,,,,
504,18-Jun,13.52,129912.9,13.56,0.24,0.7,0.2,0.51,1,,,,
505,18-Jul,13.61,153566.05,13.76,0.25,0.89,0.19,0.52,1,,,,
506,18-Aug,13.72,153496.49,13.79,0.26,0.89,0,0.52,0,,,,
507,18-Sep,13.44,128909.79,13.71,0.23,0.7,-0.19,0.51,0,,,,
508,18-Oct,13.25,107048.75,13.26,0.21,0.52,-0.18,0.49,0,,,,
509,18-Nov,13.31,103789.96,12.16,0.22,0.5,-0.02,0.43,1,,,,
510,18-Dec,12.83,123180.4,11.09,0.16,0.65,0.15,0.37,1,,,,
511,19-Jan,12.87,133317.55,10.94,0.17,0.73,0.08,0.37,1,,,,
512,19-Feb,13.1,116608,11.27,0.19,0.6,-0.13,0.38,1,,,,
513,19-Mar,13.17,112605.42,11.65,0.2,0.57,-0.03,0.4,0,,,,
514,19-Apr,13.55,90383.82,12.3,0.24,0.39,-0.18,0.44,0,,,,
515,19-May,13.6,100331.07,12.57,0.25,0.47,0.08,0.45,1,,,,
516,19-Jun,13.6,120116.17,12.47,0.25,0.63,0.16,0.45,1,,,,
517,19-Jul,13.5,153748.89,12.72,0.24,0.89,0.26,0.46,1,,,,
518,19-Aug,13.53,150083.06,12.48,0.24,0.87,-0.02,0.45,0,,,,
519,19-Sep,13.37,131566.73,12.42,0.22,0.72,-0.15,0.44,0,,,,
520,19-Oct,12.98,107997.21,11.81,0.18,0.53,-0.19,0.41,0,,,,
521,19-Nov,13.17,102452.92,11.34,0.2,0.48,-0.05,0.39,1,,,,
522,19-Dec,12.79,121078.08,11.34,0.16,0.63,0.15,0.39,1,,,,
523,20-Jan,12.88,124414.14,11.28,0.17,0.66,0.03,0.38,1,,,,
524,20-Feb,12.93,111931.39,10.58,0.17,0.56,-0.1,0.35,1,,,,
525,20-Mar,13.23,104006.32,9.46,0.21,0.5,-0.06,0.29,0,,,,
526,20-Apr,13.53,97464.58,8.35,0.24,0.44,-0.06,0.23,0,,,,
527,20-May,13.4,105411.88,8.45,0.23,0.51,0.07,0.23,1,,,,
528,20-Jun,13.46,131242.46,9.59,0.23,0.71,0.2,0.29,1,,,,
529,20-Jul,13.36,166890.83,10.11,0.22,1,0.29,0.32,1,,,,
530,20-Aug,13.36,158821.42,10.25,0.22,0.94,-0.06,0.33,0,,,,
